family,benchmark,date,model,variant,protocol,score_pct,n,ci_method,ci_level,ci_low_pct,ci_high_pct,ci_status,sampling_unit,panel_role,note,confidence,source,source_table,source_revision,url,accessed
QA,MMLU,2024-04-01,Llama-3-70B-Instruct,instruct,"0-shot CoT, macro_avg/acc",80.9,14042,not estimable,n/a,,,not estimable from published data (macro-avg over 57 subjects; per-subject counts unpublished),n/a,primary,,0.97,Meta official model card,Instruction tuned models,github.com/meta-llama/llama-models/models/llama3_1/MODEL_CARD.md (accessed 2026-06-27),https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct,2026-06-27
QA,MMLU,2024-07-01,Llama-3.1-70B-Instruct,instruct,"0-shot CoT, macro_avg/acc",86.0,14042,not estimable,n/a,,,not estimable from published data (macro-avg over 57 subjects; per-subject counts unpublished),n/a,primary,,0.97,Meta official model card,Instruction tuned models,github.com/meta-llama/llama-models/models/llama3_1/MODEL_CARD.md (accessed 2026-06-27),https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct,2026-06-27
QA,MMLU,2024-12-01,Llama-3.3-70B-Instruct,instruct,"0-shot CoT, macro_avg/acc",86.0,14042,not estimable,n/a,,,not estimable from published data (macro-avg over 57 subjects; per-subject counts unpublished),n/a,primary,,0.97,Meta official model card,Instruction tuned models,github.com/meta-llama/llama-models/models/llama3_3/MODEL_CARD.md (accessed 2026-06-27),https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct,2026-06-27
QA,MMLU,2025-06-01,Llama-3.3-70B-Instruct,instruct,"0-shot CoT, macro_avg/acc",86.0,14042,not estimable,n/a,,,not estimable from published data (macro-avg over 57 subjects; per-subject counts unpublished),n/a,primary,matched-model cost continuation,0.9,Meta official model card,Instruction tuned models,github.com/meta-llama/llama-models/models/llama3_3/MODEL_CARD.md (accessed 2026-06-27),https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct,2026-06-27
Code,HumanEval,2024-04-01,Llama-3-70B-Instruct,instruct,0-shot pass@1,81.7,164,Wilson (provisional),0.95,75.08,86.87,provisional (rounded value; binomial approximation),benchmark item (treated as i.i.d. binary; approximation),primary,,0.97,Meta official model card,Instruction tuned models,github.com/meta-llama/llama-models/models/llama3_1/MODEL_CARD.md (accessed 2026-06-27),https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct,2026-06-27
Code,HumanEval,2024-07-01,Llama-3.1-70B-Instruct,instruct,0-shot pass@1,80.5,164,Wilson (provisional),0.95,73.77,85.84,provisional (rounded value; binomial approximation),benchmark item (treated as i.i.d. binary; approximation),primary,,0.97,Meta official model card,Instruction tuned models,github.com/meta-llama/llama-models/models/llama3_1/MODEL_CARD.md (accessed 2026-06-27),https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct,2026-06-27
Code,HumanEval,2024-12-01,Llama-3.3-70B-Instruct,instruct,0-shot pass@1,88.4,164,Wilson (provisional),0.95,82.6,92.44,provisional (rounded value; binomial approximation),benchmark item (treated as i.i.d. binary; approximation),primary,,0.95,Meta official model card,Instruction tuned models,github.com/meta-llama/llama-models/models/llama3_3/MODEL_CARD.md (accessed 2026-06-27),https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct,2026-06-27
Code,HumanEval,2025-06-01,Llama-3.3-70B-Instruct,instruct,0-shot pass@1,88.4,164,Wilson (provisional),0.95,82.6,92.44,provisional (rounded value; binomial approximation),benchmark item (treated as i.i.d. binary; approximation),primary,matched-model cost continuation,0.9,Meta official model card,Instruction tuned models,github.com/meta-llama/llama-models/models/llama3_3/MODEL_CARD.md (accessed 2026-06-27),https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct,2026-06-27
Reasoning,MATH,2024-04-01,Llama-3-70B-Instruct,instruct,"0-shot CoT, final_em",51.0,,not estimable,n/a,,,not estimable from published data (denominator/scorer not pinned),n/a,sensitivity,,0.92,Meta official model card,Instruction tuned models,github.com/meta-llama/llama-models/models/llama3_1/MODEL_CARD.md (accessed 2026-06-27),https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct,2026-06-27
Reasoning,MATH,2024-07-01,Llama-3.1-70B-Instruct,instruct,"0-shot CoT, final_em",68.0,,not estimable,n/a,,,not estimable from published data (denominator/scorer not pinned),n/a,sensitivity,,0.92,Meta official model card,Instruction tuned models,github.com/meta-llama/llama-models/models/llama3_1/MODEL_CARD.md (accessed 2026-06-27),https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct,2026-06-27
Reasoning,MATH,2024-12-01,Llama-3.3-70B-Instruct,instruct,"0-shot CoT, sympy_intersection_score",77.0,,not estimable,n/a,,,not estimable from published data (denominator/scorer not pinned),n/a,sensitivity,scoring rule differs from L3/L3.1,0.9,Meta official model card,Instruction tuned models,github.com/meta-llama/llama-models/models/llama3_3/MODEL_CARD.md (accessed 2026-06-27),https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct,2026-06-27
Reasoning,MATH,2025-06-01,Llama-3.3-70B-Instruct,instruct,"0-shot CoT, sympy_intersection_score",77.0,,not estimable,n/a,,,not estimable from published data (denominator/scorer not pinned),n/a,sensitivity,matched-model cost continuation; scorer differs,0.85,Meta official model card,Instruction tuned models,github.com/meta-llama/llama-models/models/llama3_3/MODEL_CARD.md (accessed 2026-06-27),https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct,2026-06-27
QA,MMLU,2023-07-01,Llama-2-70B-Chat,base/unverified,5-shot; THIRD-PARTY harness; chat unverified,63.2,14042,,,,,excluded (not comparable),,excluded,2023 vintage not comparable,0.45,EleutherAI lm-eval-harness reproduction (Meta base-only 68.9),,,https://github.com/EleutherAI/lm-evaluation-harness/issues/1213,2026-06-27
Code,HumanEval,2023-07-01,Llama-2-70B-Chat,base/unverified,0-shot pass@1 claimed; launch-blog; Meta base-only 29.9,25.6,164,,,,,excluded (not comparable),,excluded,2023 vintage not comparable,0.4,Meta Llama 3 launch blog table,,,https://ai.meta.com/blog/meta-llama-3/,2026-06-27
